"","level.1","level.2","level.3","level.4","level.5","level.6","level.7"
"R-P27795",1,1,1,1,1,1,1
"R-P27796",2,3,8,8,8,8,8
"R-P27797",1,1,1,1,1,1,1
"R-P27793",3,5,11,11,11,11,11
"R-P27794",3,6,13,15,18,21,22
"R-P27798",3,6,13,16,19,22,23
"R-P27791",3,5,11,11,11,11,11
"R-P27792",3,5,11,12,12,12,12
"U-P14077",3,5,12,13,14,16,17
"Q-P12813",3,6,14,17,20,23,24
"U-P14066",1,2,3,3,3,3,3
"Q-P12821",1,2,3,3,3,3,3
"Q-P12855",3,7,16,21,24,27,28
"Q-P12036",1,2,4,4,4,4,4
"Q-P12838",1,2,5,5,5,5,5
"Q-P12820",1,2,6,6,6,6,6
"Q-P12029",3,6,15,19,22,25,26
"U-P14058",3,6,14,17,20,23,24
"Q-P12834",4,8,18,23,26,29,30
"Q-P12876",1,1,2,2,2,2,2
"Q-P12030",1,2,6,6,6,6,6
"Q-P12907",3,5,12,14,16,18,19
"Q-P12826",4,8,18,23,26,29,30
"Q-P12804",3,6,14,17,20,23,24
"Q-P12803",3,6,14,17,20,23,24
"Q-P12832",4,8,18,23,26,29,30
"U-P14061",3,5,12,14,17,19,20
"U-P14068",3,5,12,14,17,19,20
"Q-P12886",3,5,12,13,14,16,17
"Q-P12905",3,5,12,14,16,18,19
"Q-P12887",3,6,14,17,20,23,24
"Q-P12819",1,2,6,6,6,6,6
"R-P27790",3,5,12,14,17,20,21
"Q-P12828",4,8,18,23,26,29,30
"Q-P12902",3,5,12,14,16,18,19
"U-P14067",3,5,12,14,17,19,20
"Q-P12830",3,5,12,14,17,19,20
"Q-P12904",3,5,12,14,16,18,19
"Q-P12863",3,6,14,17,20,23,24
"Q-P12900",3,5,12,14,16,18,19
"Q-P12818",3,6,14,17,20,23,24
"U-P14070",3,5,12,13,14,16,17
"Q-P12825",4,8,18,23,26,29,30
"Q-P12890",3,6,14,17,20,23,24
"Q-P12831",4,8,18,23,26,29,30
"Q-P12848",3,5,12,14,16,18,19
"Q-P12851",3,5,12,14,16,18,19
"Q-P12841",3,5,12,14,16,18,19
"Q-P12033",1,2,4,4,4,4,4
"Q-P12823",3,6,14,17,20,23,24
"Q-P12802",3,5,12,13,14,16,17
"Q-P12862",1,1,2,2,2,2,2
"Q-P12901",3,6,15,19,22,25,26
"Q-P12822",1,2,4,4,4,4,4
"Q-P12836",3,5,12,14,16,18,19
"Q-P12860",1,1,2,2,2,2,2
"Q-P12814",1,2,6,6,6,6,6
"Q-P12897",3,5,12,14,16,18,19
"U-P14084",3,6,14,17,20,23,24
"Q-P12833",3,5,12,14,16,18,19
"Q-P12811",1,2,6,6,6,6,6
"Q-P12858",3,5,12,14,16,18,19
"Q-P12885",3,5,12,14,17,20,21
"Q-P12850",3,6,14,17,20,23,24
"Q-P12808",1,2,4,4,4,4,4
"Q-P12856",3,5,12,14,16,18,19
"Q-P12827",4,8,18,23,26,29,30
"Q-P12816",3,6,15,19,22,25,26
"Q-P12906",3,5,12,14,16,18,19
"Q-P12898",3,5,12,14,17,20,21
"Q-P12875",1,2,4,4,4,4,4
"U-P14086",1,2,6,6,6,6,6
"Q-P12861",1,1,1,1,1,1,1
